taxonID,description,type,language
my_dataset_shortname:taxon:08e8f90b6f9c11542d5defc37174b82e,Eastern Europe,native range,en
my_dataset_shortname:taxon:38f13652f41c27960bcd73a290edfffc,unknown,native range,en
my_dataset_shortname:taxon:3a8291f00819019004d5617b918c868a,Central America,native range,en
my_dataset_shortname:taxon:3a8291f00819019004d5617b918c868a,South America,native range,en
my_dataset_shortname:taxon:3a8291f00819019004d5617b918c868a,Europe,native range,en
my_dataset_shortname:taxon:3a8291f00819019004d5617b918c868a,Africa,native range,en
my_dataset_shortname:taxon:3a8291f00819019004d5617b918c868a,Asia,native range,en
my_dataset_shortname:taxon:a3bfde56eee7e6b09c5248291b4951d4,North America,native range,en
my_dataset_shortname:taxon:d9d4509efbdd5d427f9ee370d645ac02,Asia,native range,en
my_dataset_shortname:taxon:d9d4509efbdd5d427f9ee370d645ac02,Eastern Europe,native range,en
